year_month,Technical_elements,items,category,ma_6,conversion_flag
2015-01-01,INキャビンフュージョンR研究（センシング×AI）,49,in_cabin_fusion,49.0,False
2015-02-01,INキャビンフュージョンR研究（センシング×AI）,48,in_cabin_fusion,48.5,False
2015-03-01,INキャビンフュージョンR研究（センシング×AI）,52,in_cabin_fusion,49.666666666666664,False
2015-04-01,INキャビンフュージョンR研究（センシング×AI）,54,in_cabin_fusion,50.75,False
2015-05-01,INキャビンフュージョンR研究（センシング×AI）,34,in_cabin_fusion,47.4,False
2015-06-01,INキャビンフュージョンR研究（センシング×AI）,43,in_cabin_fusion,46.666666666666664,False
2015-07-01,INキャビンフュージョンR研究（センシング×AI）,43,in_cabin_fusion,45.666666666666664,False
2015-08-01,INキャビンフュージョンR研究（センシング×AI）,53,in_cabin_fusion,46.5,False
2015-09-01,INキャビンフュージョンR研究（センシング×AI）,74,in_cabin_fusion,50.166666666666664,False
2015-10-01,INキャビンフュージョンR研究（センシング×AI）,47,in_cabin_fusion,49.0,False
2015-11-01,INキャビンフュージョンR研究（センシング×AI）,45,in_cabin_fusion,50.833333333333336,True
2015-12-01,INキャビンフュージョンR研究（センシング×AI）,103,in_cabin_fusion,60.833333333333336,False
2016-01-01,INキャビンフュージョンR研究（センシング×AI）,102,in_cabin_fusion,70.66666666666667,False
2016-02-01,INキャビンフュージョンR研究（センシング×AI）,53,in_cabin_fusion,70.66666666666667,False
2016-03-01,INキャビンフュージョンR研究（センシング×AI）,63,in_cabin_fusion,68.83333333333333,False
2016-04-01,INキャビンフュージョンR研究（センシング×AI）,72,in_cabin_fusion,73.0,False
2016-05-01,INキャビンフュージョンR研究（センシング×AI）,44,in_cabin_fusion,72.83333333333333,False
2016-06-01,INキャビンフュージョンR研究（センシング×AI）,43,in_cabin_fusion,62.833333333333336,False
2016-07-01,INキャビンフュージョンR研究（センシング×AI）,35,in_cabin_fusion,51.666666666666664,False
2016-08-01,INキャビンフュージョンR研究（センシング×AI）,87,in_cabin_fusion,57.333333333333336,False
2016-09-01,INキャビンフュージョンR研究（センシング×AI）,56,in_cabin_fusion,56.166666666666664,False
2016-10-01,INキャビンフュージョンR研究（センシング×AI）,58,in_cabin_fusion,53.833333333333336,False
2016-11-01,INキャビンフュージョンR研究（センシング×AI）,73,in_cabin_fusion,58.666666666666664,False
2016-12-01,INキャビンフュージョンR研究（センシング×AI）,69,in_cabin_fusion,63.0,False
2017-01-01,INキャビンフュージョンR研究（センシング×AI）,66,in_cabin_fusion,68.16666666666667,False
2017-02-01,INキャビンフュージョンR研究（センシング×AI）,36,in_cabin_fusion,59.666666666666664,False
2017-03-01,INキャビンフュージョンR研究（センシング×AI）,74,in_cabin_fusion,62.666666666666664,False
2017-04-01,INキャビンフュージョンR研究（センシング×AI）,73,in_cabin_fusion,65.16666666666667,False
2017-05-01,INキャビンフュージョンR研究（センシング×AI）,73,in_cabin_fusion,65.16666666666667,False
2017-06-01,INキャビンフュージョンR研究（センシング×AI）,73,in_cabin_fusion,65.83333333333333,False
