year_month,Technical_elements,items,Industry,Company,ma_6,conversion_flag
2019-12-01,UX顧客分析,1,ICT・クラウド業界,AWS,1.0,False
2019-12-01,ペットも酔わないダイナミズム,1,ICT・クラウド業界,AWS,1.0,False
2015-01-01,INキャビンフュージョン,1,自動車業界,Audi,1.0,False
2015-03-01,INキャビンフュージョン,2,自動車業界,Audi,1.5,False
2015-04-01,INキャビンフュージョン,4,自動車業界,Audi,2.3333333333333335,False
2015-06-01,INキャビンフュージョン,1,自動車業界,Audi,2.0,False
2015-09-01,INキャビンフュージョン,2,自動車業界,Audi,2.0,False
2015-10-01,INキャビンフュージョン,2,自動車業界,Audi,2.0,False
2015-11-01,INキャビンフュージョン,1,自動車業界,Audi,2.0,False
2016-01-01,INキャビンフュージョン,2,自動車業界,Audi,2.0,False
2016-05-01,INキャビンフュージョン,2,自動車業界,Audi,1.6666666666666667,False
2016-06-01,INキャビンフュージョン,1,自動車業界,Audi,1.6666666666666667,False
2016-08-01,INキャビンフュージョン,3,自動車業界,Audi,1.8333333333333333,True
2016-11-01,INキャビンフュージョン,5,自動車業界,Audi,2.3333333333333335,False
2016-12-01,INキャビンフュージョン,3,自動車業界,Audi,2.6666666666666665,False
2017-01-01,INキャビンフュージョン,1,自動車業界,Audi,2.5,False
2017-02-01,INキャビンフュージョン,2,自動車業界,Audi,2.5,False
2017-03-01,INキャビンフュージョン,4,自動車業界,Audi,3.0,False
2017-06-01,INキャビンフュージョン,1,自動車業界,Audi,2.6666666666666665,False
2017-08-01,INキャビンフュージョン,1,自動車業界,Audi,2.0,False
2017-09-01,INキャビンフュージョン,8,自動車業界,Audi,2.8333333333333335,False
2017-10-01,INキャビンフュージョン,5,自動車業界,Audi,3.5,False
2017-11-01,INキャビンフュージョン,1,自動車業界,Audi,3.3333333333333335,False
2017-12-01,INキャビンフュージョン,5,自動車業界,Audi,3.5,False
2018-02-01,INキャビンフュージョン,2,自動車業界,Audi,3.6666666666666665,False
2018-06-01,INキャビンフュージョン,1,自動車業界,Audi,3.6666666666666665,False
2018-07-01,INキャビンフュージョン,4,自動車業界,Audi,3.0,False
2018-09-01,INキャビンフュージョン,3,自動車業界,Audi,2.6666666666666665,False
2018-10-01,INキャビンフュージョン,1,自動車業界,Audi,2.6666666666666665,False
2019-01-01,INキャビンフュージョン,1,自動車業界,Audi,2.0,False
2019-02-01,INキャビンフュージョン,3,自動車業界,Audi,2.1666666666666665,False
2019-03-01,INキャビンフュージョン,4,自動車業界,Audi,2.6666666666666665,False
2019-04-01,INキャビンフュージョン,1,自動車業界,Audi,2.1666666666666665,False
2019-05-01,INキャビンフュージョン,2,自動車業界,Audi,2.0,False
2019-06-01,INキャビンフュージョン,4,自動車業界,Audi,2.5,False
2019-07-01,INキャビンフュージョン,4,自動車業界,Audi,3.0,False
2019-08-01,INキャビンフュージョン,3,自動車業界,Audi,3.0,False
2019-11-01,INキャビンフュージョン,1,自動車業界,Audi,2.5,False
2019-12-01,INキャビンフュージョン,1,自動車業界,Audi,2.5,False
2020-04-01,INキャビンフュージョン,14,自動車業界,Audi,4.5,False
2020-08-01,INキャビンフュージョン,5,自動車業界,Audi,4.666666666666667,False
2020-09-01,INキャビンフュージョン,3,自動車業界,Audi,4.5,False
2020-10-01,INキャビンフュージョン,5,自動車業界,Audi,4.833333333333333,False
2020-11-01,INキャビンフュージョン,3,自動車業界,Audi,5.166666666666667,False
2020-12-01,INキャビンフュージョン,1,自動車業界,Audi,5.166666666666667,False
2021-01-01,INキャビンフュージョン,2,自動車業界,Audi,3.1666666666666665,False
2021-04-01,INキャビンフュージョン,5,自動車業界,Audi,3.1666666666666665,False
2021-11-01,INキャビンフュージョン,2,自動車業界,Audi,3.0,False
2022-03-01,INキャビンフュージョン,4,自動車業界,Audi,2.8333333333333335,False
2022-10-01,INキャビンフュージョン,2,自動車業界,Audi,2.6666666666666665,False
2022-11-01,INキャビンフュージョン,1,自動車業界,Audi,2.6666666666666665,False
2022-12-01,INキャビンフュージョン,1,自動車業界,Audi,2.5,False
2023-02-01,INキャビンフュージョン,1,自動車業界,Audi,1.8333333333333333,False
2023-03-01,INキャビンフュージョン,1,自動車業界,Audi,1.6666666666666667,False
2023-08-01,INキャビンフュージョン,1,自動車業界,Audi,1.1666666666666667,False
2024-03-01,INキャビンフュージョン,1,自動車業界,Audi,1.0,False
2015-01-01,UX顧客分析,3,自動車業界,Audi,3.0,False
2015-02-01,UX顧客分析,2,自動車業界,Audi,2.5,False
2015-03-01,UX顧客分析,2,自動車業界,Audi,2.3333333333333335,False
2015-04-01,UX顧客分析,1,自動車業界,Audi,2.0,False
2015-05-01,UX顧客分析,9,自動車業界,Audi,3.4,True
2015-06-01,UX顧客分析,7,自動車業界,Audi,4.0,True
2015-07-01,UX顧客分析,20,自動車業界,Audi,6.833333333333333,True
2015-08-01,UX顧客分析,4,自動車業界,Audi,7.166666666666667,True
2015-10-01,UX顧客分析,10,自動車業界,Audi,8.5,False
2015-11-01,UX顧客分析,5,自動車業界,Audi,9.166666666666666,False
2015-12-01,UX顧客分析,2,自動車業界,Audi,8.0,False
2016-01-01,UX顧客分析,1,自動車業界,Audi,7.0,False
2016-02-01,UX顧客分析,2,自動車業界,Audi,4.0,False
2016-03-01,UX顧客分析,10,自動車業界,Audi,5.0,False
2016-04-01,UX顧客分析,3,自動車業界,Audi,3.8333333333333335,False
2016-05-01,UX顧客分析,1,自動車業界,Audi,3.1666666666666665,False
2016-06-01,UX顧客分析,2,自動車業界,Audi,3.1666666666666665,False
