year_month,Technical_elements,company,items,ma_6,conversion_flag
2022-03,INキャビンフュージョンR研究,AWS,1,1.0,False
2019-08,UX顧客分析モデル,AWS,1,1.0,False
2020-08,UX顧客分析モデル,AWS,1,1.0,False
2021-01,UX顧客分析モデル,AWS,1,1.0,False
2021-04,UX顧客分析モデル,AWS,1,1.0,False
2021-12,UX顧客分析モデル,AWS,2,1.2,False
2022-02,UX顧客分析モデル,AWS,1,1.1666666666666667,False
2022-03,UX顧客分析モデル,AWS,7,2.1666666666666665,False
2022-07,UX顧客分析モデル,AWS,2,2.3333333333333335,False
2022-09,UX顧客分析モデル,AWS,1,2.3333333333333335,False
2022-11,UX顧客分析モデル,AWS,2,2.5,False
2022-12,UX顧客分析モデル,AWS,2,2.5,False
2023-03,UX顧客分析モデル,AWS,25,6.5,False
2023-05,UX顧客分析モデル,AWS,6,6.333333333333333,False
2023-06,UX顧客分析モデル,AWS,1,6.166666666666667,False
2023-07,UX顧客分析モデル,AWS,3,6.5,False
2023-10,UX顧客分析モデル,AWS,5,7.0,False
2024-01,UX顧客分析モデル,AWS,1,6.833333333333333,False
2024-02,UX顧客分析モデル,AWS,2,3.0,False
2024-03,UX顧客分析モデル,AWS,4,2.6666666666666665,False
2024-04,UX顧客分析モデル,AWS,1,2.6666666666666665,False
2015-08,ペットも酔わないダイナミクス,AWS,1,1.0,False
2015-12,ペットも酔わないダイナミクス,AWS,1,1.0,False
2017-06,ペットも酔わないダイナミクス,AWS,1,1.0,False
2017-08,ペットも酔わないダイナミクス,AWS,1,1.0,False
2018-06,ペットも酔わないダイナミクス,AWS,1,1.0,False
2018-12,ペットも酔わないダイナミクス,AWS,1,1.0,False
2019-08,ペットも酔わないダイナミクス,AWS,1,1.0,False
2020-08,ペットも酔わないダイナミクス,AWS,1,1.0,False
2021-01,ペットも酔わないダイナミクス,AWS,1,1.0,False
2021-04,ペットも酔わないダイナミクス,AWS,2,1.1666666666666667,False
2021-12,ペットも酔わないダイナミクス,AWS,2,1.3333333333333333,False
2022-02,ペットも酔わないダイナミクス,AWS,1,1.3333333333333333,False
2022-03,ペットも酔わないダイナミクス,AWS,16,3.8333333333333335,False
2022-07,ペットも酔わないダイナミクス,AWS,7,4.833333333333333,False
2022-09,ペットも酔わないダイナミクス,AWS,1,4.833333333333333,False
2022-11,ペットも酔わないダイナミクス,AWS,3,5.0,True
2022-12,ペットも酔わないダイナミクス,AWS,3,5.166666666666667,False
2023-03,ペットも酔わないダイナミクス,AWS,39,11.5,False
2023-05,ペットも酔わないダイナミクス,AWS,6,9.833333333333334,False
2023-06,ペットも酔わないダイナミクス,AWS,1,8.833333333333334,False
2023-07,ペットも酔わないダイナミクス,AWS,5,9.5,False
2023-10,ペットも酔わないダイナミクス,AWS,14,11.333333333333334,False
2024-01,ペットも酔わないダイナミクス,AWS,1,11.0,False
2024-02,ペットも酔わないダイナミクス,AWS,9,6.0,False
2024-03,ペットも酔わないダイナミクス,AWS,7,6.166666666666667,False
2024-04,ペットも酔わないダイナミクス,AWS,2,6.333333333333333,False
2023-03,個超個人最適化AI,AWS,1,1.0,False
2022-11,生体計測技術,AWS,1,1.0,False
2023-03,生体計測技術,AWS,1,1.0,False
2024-01,生体計測技術,AWS,1,1.0,False
2024-03,生体計測技術,AWS,1,1.0,False
2023-03,INキャビンフュージョンR研究,Audi,2,2.0,False
2023-10,INキャビンフュージョンR研究,Audi,1,1.5,False
2015-03,UX顧客分析モデル,Audi,1,1.0,False
2018-04,UX顧客分析モデル,Audi,2,1.5,False
2018-06,UX顧客分析モデル,Audi,2,1.6666666666666667,False
2019-07,UX顧客分析モデル,Audi,1,1.5,False
2020-01,UX顧客分析モデル,Audi,1,1.4,False
2020-02,UX顧客分析モデル,Audi,1,1.3333333333333333,False
2020-04,UX顧客分析モデル,Audi,1,1.3333333333333333,False
2021-04,UX顧客分析モデル,Audi,4,1.6666666666666667,False
2021-07,UX顧客分析モデル,Audi,1,1.5,False
2021-12,UX顧客分析モデル,Audi,3,1.8333333333333333,True
2022-01,UX顧客分析モデル,Audi,2,2.0,True
2022-02,UX顧客分析モデル,Audi,10,3.5,False
2022-03,UX顧客分析モデル,Audi,46,11.0,False
2022-04,UX顧客分析モデル,Audi,3,10.833333333333334,False
2022-05,UX顧客分析モデル,Audi,1,10.833333333333334,False
2022-07,UX顧客分析モデル,Audi,8,11.666666666666666,False
2022-09,UX顧客分析モデル,Audi,3,11.833333333333334,False
2022-11,UX顧客分析モデル,Audi,3,10.666666666666666,False
2022-12,UX顧客分析モデル,Audi,5,3.8333333333333335,False
2023-03,UX顧客分析モデル,Audi,163,30.5,True
2023-04,UX顧客分析モデル,Audi,3,30.833333333333332,False
2023-05,UX顧客分析モデル,Audi,20,32.833333333333336,False
2023-06,UX顧客分析モデル,Audi,1,32.5,False
2023-07,UX顧客分析モデル,Audi,6,33.0,False
2023-08,UX顧客分析モデル,Audi,1,32.333333333333336,False
2023-09,UX顧客分析モデル,Audi,1,5.333333333333333,False
2023-10,UX顧客分析モデル,Audi,37,11.0,False
2023-12,UX顧客分析モデル,Audi,2,8.0,False
2024-01,UX顧客分析モデル,Audi,1,8.0,False
2024-02,UX顧客分析モデル,Audi,21,10.5,True
2024-03,UX顧客分析モデル,Audi,9,11.833333333333334,False
2024-04,UX顧客分析モデル,Audi,2,12.0,False
2015-03,ペットも酔わないダイナミクス,Audi,1,1.0,False
2015-05,ペットも酔わないダイナミクス,Audi,1,1.0,False
2015-08,ペットも酔わないダイナミクス,Audi,2,1.3333333333333333,False
2016-02,ペットも酔わないダイナミクス,Audi,1,1.25,False
2018-03,ペットも酔わないダイナミクス,Audi,1,1.2,False
2018-04,ペットも酔わないダイナミクス,Audi,2,1.3333333333333333,False
2018-06,ペットも酔わないダイナミクス,Audi,3,1.6666666666666667,False
2018-08,ペットも酔わないダイナミクス,Audi,1,1.6666666666666667,False
2019-05,ペットも酔わないダイナミクス,Audi,1,1.5,False
2019-06,ペットも酔わないダイナミクス,Audi,1,1.5,False
2019-07,ペットも酔わないダイナミクス,Audi,2,1.6666666666666667,False
2019-08,ペットも酔わないダイナミクス,Audi,3,1.8333333333333333,False
2019-11,ペットも酔わないダイナミクス,Audi,1,1.5,False
2019-12,ペットも酔わないダイナミクス,Audi,2,1.6666666666666667,False
2020-01,ペットも酔わないダイナミクス,Audi,2,1.8333333333333333,False
2020-02,ペットも酔わないダイナミクス,Audi,1,1.8333333333333333,False
2020-04,ペットも酔わないダイナミクス,Audi,1,1.6666666666666667,False
2020-08,ペットも酔わないダイナミクス,Audi,1,1.3333333333333333,False
2020-09,ペットも酔わないダイナミクス,Audi,2,1.5,False
2020-12,ペットも酔わないダイナミクス,Audi,1,1.3333333333333333,False
2021-04,ペットも酔わないダイナミクス,Audi,9,2.5,False
2021-05,ペットも酔わないダイナミクス,Audi,1,2.5,False
2021-07,ペットも酔わないダイナミクス,Audi,3,2.8333333333333335,False
2021-08,ペットも酔わないダイナミクス,Audi,3,3.1666666666666665,False
2021-11,ペットも酔わないダイナミクス,Audi,1,3.0,False
