year_month,Technical_elements,items,ma_6,conversion_flag
2015-01-01,transformer,2,2.0,False
2015-02-01,transformer,0,1.0,False
2015-03-01,transformer,2,1.3333333333333333,False
2015-04-01,transformer,0,1.0,False
2015-05-01,transformer,2,1.2,False
2015-06-01,transformer,1,1.1666666666666667,False
2015-07-01,transformer,2,1.1666666666666667,False
2015-08-01,transformer,7,2.3333333333333335,False
2015-09-01,transformer,2,2.3333333333333335,False
2015-10-01,transformer,0,2.3333333333333335,False
2015-11-01,transformer,4,2.6666666666666665,False
2015-12-01,transformer,4,3.1666666666666665,False
2016-01-01,transformer,0,2.8333333333333335,False
2016-02-01,transformer,3,2.1666666666666665,False
2016-03-01,transformer,3,2.3333333333333335,False
2016-04-01,transformer,1,2.5,False
2016-05-01,transformer,0,1.8333333333333333,False
2016-06-01,transformer,9,2.6666666666666665,True
2016-07-01,transformer,6,3.6666666666666665,True
2016-08-01,transformer,4,3.8333333333333335,False
2016-09-01,transformer,5,4.166666666666667,False
2016-10-01,transformer,4,4.666666666666667,False
2016-11-01,transformer,1,4.833333333333333,False
2016-12-01,transformer,6,4.333333333333333,False
2017-01-01,transformer,3,3.8333333333333335,False
2017-02-01,transformer,0,3.1666666666666665,False
2017-03-01,transformer,15,4.833333333333333,True
2017-04-01,transformer,23,8.0,True
2017-05-01,transformer,25,12.0,True
2017-06-01,transformer,11,12.833333333333334,True
2017-07-01,transformer,37,18.5,True
2017-08-01,transformer,19,21.666666666666668,False
2017-09-01,transformer,19,22.333333333333332,False
2017-10-01,transformer,17,21.333333333333332,False
2017-11-01,transformer,22,20.833333333333332,False
2017-12-01,transformer,62,29.333333333333332,True
2018-01-01,transformer,42,30.166666666666668,True
2018-02-01,transformer,30,32.0,True
2018-03-01,transformer,70,40.5,True
2018-04-01,transformer,46,45.333333333333336,True
2018-05-01,transformer,102,58.666666666666664,True
2018-06-01,transformer,82,62.0,True
2018-07-01,transformer,81,68.5,False
2018-08-01,transformer,89,78.33333333333333,True
2018-09-01,transformer,79,79.83333333333333,True
2018-10-01,transformer,131,94.0,True
2018-11-01,transformer,162,104.0,True
2018-12-01,transformer,184,121.0,True
2019-01-01,transformer,201,141.0,False
2019-02-01,transformer,109,144.33333333333334,False
2019-03-01,transformer,146,155.5,True
2019-04-01,transformer,297,183.16666666666666,True
2019-05-01,transformer,318,209.16666666666666,True
2019-06-01,transformer,280,225.16666666666666,False
2019-07-01,transformer,298,241.33333333333334,True
2019-08-01,transformer,288,271.1666666666667,False
2019-09-01,transformer,317,299.6666666666667,False
2019-10-01,transformer,306,301.1666666666667,False
2019-11-01,transformer,371,310.0,False
2019-12-01,transformer,595,362.5,False
2020-01-01,transformer,316,365.5,False
2020-02-01,transformer,213,353.0,False
2020-03-01,transformer,372,362.1666666666667,False
2020-04-01,transformer,411,379.6666666666667,False
2020-05-01,transformer,460,394.5,False
2020-06-01,transformer,558,388.3333333333333,False
2020-07-01,transformer,470,414.0,False
2020-08-01,transformer,522,465.5,False
2020-09-01,transformer,553,495.6666666666667,False
2020-10-01,transformer,505,511.3333333333333,False
2020-11-01,transformer,666,545.6666666666666,False
2020-12-01,transformer,1067,630.5,False
2021-01-01,transformer,521,639.0,False
2021-02-01,transformer,424,622.6666666666666,False
2021-03-01,transformer,771,659.0,False
2021-04-01,transformer,774,703.8333333333334,False
2021-05-01,transformer,751,718.0,False
2021-06-01,transformer,891,688.6666666666666,False
2021-07-01,transformer,838,741.5,False
2021-08-01,transformer,750,795.8333333333334,False
2021-09-01,transformer,913,819.5,False
2021-10-01,transformer,597,790.0,False
2021-11-01,transformer,977,827.6666666666666,False
2021-12-01,transformer,1204,879.8333333333334,False
2022-01-01,transformer,856,882.8333333333334,False
2022-02-01,transformer,495,840.3333333333334,False
2022-03-01,transformer,949,846.3333333333334,False
2022-04-01,transformer,957,906.3333333333334,False
2022-05-01,transformer,1255,952.6666666666666,False
2022-06-01,transformer,1088,933.3333333333334,False
2022-07-01,transformer,1039,963.8333333333334,False
2022-08-01,transformer,892,1030.0,False
2022-09-01,transformer,999,1038.3333333333333,False
2022-10-01,transformer,763,1006.0,False
2022-11-01,transformer,1165,991.0,False
2022-12-01,transformer,1266,1020.6666666666666,False
2023-01-01,transformer,547,938.6666666666666,False
2023-02-01,transformer,908,941.3333333333334,False
2023-03-01,transformer,1263,985.3333333333334,False
2023-04-01,transformer,1148,1049.5,False
2023-05-01,transformer,1379,1085.1666666666667,False
2023-06-01,transformer,1276,1086.8333333333333,False
2023-07-01,transformer,1218,1198.6666666666667,False
2023-08-01,transformer,1228,1252.0,False
2023-09-01,transformer,1113,1227.0,False
2023-10-01,transformer,1216,1238.3333333333333,False
2023-11-01,transformer,1581,1272.0,False
2023-12-01,transformer,1646,1333.6666666666667,False
2024-01-01,transformer,1348,1355.3333333333333,False
2024-02-01,transformer,738,1273.6666666666667,False
2024-03-01,transformer,1403,1322.0,False
2024-04-01,transformer,1483,1366.5,False
2024-05-01,transformer,1610,1371.3333333333333,False
2024-06-01,transformer,1729,1385.1666666666667,False
2024-07-01,transformer,1646,1434.8333333333333,False
2024-08-01,transformer,1440,1551.8333333333333,False
2024-09-01,transformer,1204,1518.6666666666667,False
