year_month,Technical_elements,items,Country,ma_6,conversion_flag
2019-10-01,transformer,1.0,africa,1.0,False
2019-11-01,transformer,0.0,africa,0.5,False
2019-12-01,transformer,0.0,africa,0.3333333333333333,False
2020-01-01,transformer,0.0,africa,0.25,False
2020-02-01,transformer,0.0,africa,0.2,False
2020-03-01,transformer,0.0,africa,0.16666666666666666,False
2020-04-01,transformer,0.0,africa,0.0,False
2020-05-01,transformer,0.0,africa,0.0,False
2020-06-01,transformer,0.0,africa,0.0,False
2020-07-01,transformer,0.0,africa,0.0,False
2020-08-01,transformer,0.0,africa,0.0,False
2020-09-01,transformer,0.0,africa,0.0,False
2020-10-01,transformer,0.0,africa,0.0,False
2020-11-01,transformer,0.0,africa,0.0,False
2020-12-01,transformer,0.0,africa,0.0,False
2021-01-01,transformer,0.0,africa,0.0,False
2021-02-01,transformer,0.0,africa,0.0,False
2021-03-01,transformer,0.0,africa,0.0,False
2021-04-01,transformer,0.0,africa,0.0,False
2021-05-01,transformer,0.0,africa,0.0,False
2021-06-01,transformer,0.0,africa,0.0,False
2021-07-01,transformer,0.0,africa,0.0,False
2021-08-01,transformer,0.0,africa,0.0,False
2021-09-01,transformer,0.0,africa,0.0,False
2021-10-01,transformer,0.0,africa,0.0,False
2021-11-01,transformer,0.0,africa,0.0,False
2021-12-01,transformer,0.0,africa,0.0,False
2022-01-01,transformer,0.0,africa,0.0,False
2022-02-01,transformer,0.0,africa,0.0,False
2022-03-01,transformer,0.0,africa,0.0,False
2022-04-01,transformer,0.0,africa,0.0,False
2022-05-01,transformer,0.0,africa,0.0,False
2022-06-01,transformer,0.0,africa,0.0,False
2022-07-01,transformer,0.0,africa,0.0,False
2022-08-01,transformer,0.0,africa,0.0,False
2022-09-01,transformer,0.0,africa,0.0,False
2022-10-01,transformer,0.0,africa,0.0,False
2022-11-01,transformer,0.0,africa,0.0,False
2022-12-01,transformer,0.0,africa,0.0,False
2023-01-01,transformer,2.0,africa,0.3333333333333333,False
